uID,Context,Prompt,Target
BNC-903,I had decided that I had to have a partial confidant at the school. One did not have to attend school meals with the boys over the week-end if one was off duty.,he had been away,And the only master who might have noticed I had been away was Meli himself but as it happened he 'd been in Athens.
BNC-904,And I was excited by my new importance. Proud and pleased to be playing opposite Frank Donovan who had once stood in for Hayden Coffin.,Frank Donovan was not the jovial easy-going character she remembered,Occasionally perhaps I should notice that he was not the jovial easy-going character I remembered from my humble place in the chorus.
BNC-908,``And you're wrong about us. We're not children and I 'd say we're learning the rules pretty quickly.'',he's not shaking any more,You may have noticed I'm not shaking any more!
BNC-911,"Cecilia always left coming to Tina's until noon was past because she did not want to find her daughter in bed. Had she done so she would not have said a word, would not have looked a word, would simply have sat on the bed and talked to Tina for ten minutes instead of the two of them sitting opposite each other in armchairs.",Tina had been up for hours,But if she came and found Tina up she could pretend to herself that Tina had been up for hours and was a normal person and a proper mother.
BNC-917,His flat was on the top floor. Underneath was a dentist and on the ground floor an estate agent.,Miriam was visiting the dentist,They had arranged between themselves that if by chance Miriam was seen entering the house by day she could always pretend she was visiting the dentist.
BNC-92,That's why he's locked up. I don't want him to know we 've got divers aboard and I especially don't want him to see me taking off with divers in the general direction of the Delos.,there was no spare tank,If we find that there was no spare tank we shall have to keep an even closer eye on him.
BNC-923,"I could see that if I were to give way to retroscendence the average supermarket gondola, stuck with myriad products like a hedgehog with spines, would become a mystic test-bed able through its thousand portals to suck me into individual sagas so complex, so durable, that I would perhaps never reemerge. The very ecosystem I inhabited was also to be one of products, striving against built-in obsolescence to individuate themselves, using whatever human means were at their disposal to advance their branded species.",the fittest product with the most colorful packaging was the most likely to be pollinated by purchase,I was conscious that underlying it all there must be some Law of Unnatural Selection which could prove that the fittest product with the most colourful packaging was the most likely to be pollinated by purchase.
BNC-927,Patrick poured a whisky for himself too. He was less detached than she thought.,Patrick had recovered his nerves,Maybe he had proved to himself that he had recovered his nerve but he had had to hold on very tight at that moment when she had broken.
BNC-939,"When he was there we were Bonnie and Clyde, now he was gone we were Blondie and Dagwood. Or rather, now he was gone, I was Dennis.",this meant her former role was now vacant,If I 'd been smarter or less vain I might have realized that this meant that my former role was now vacant.
BNC-94,"Nothing yet. Except that I will not detain you in prison or expel you from Scotland, on one condition.",it was murder,You will tell me if you find it was murder and give me the name of the murderer.
BNC-941,It was drink that got me into this mess. That and the club raffle.,the manager's job was third prize,If I had kept my wits and remained coherent I would probably have realised the manager's job was third prize.
BNC-946,"``Give me more time,'' replies Rufus. But he knows this is part of the game.",he doesn't have a car,He probably remembers I don't have a car.
BNC-947,"For a while the notion gripped him, and he prowled the many floors of Hamleys looking for toys. He bought a magic set for Sebastian (although his ideal present for the kid would have been a brand-new name) and a marionette for Louise.",there was an age for puppets and magic,He could remember that there was an age for puppets and magic just as he could remember the time that he 'd spent trying to fan a deck of cards or sitting in front of a mirror trying to get the hard consonants down like a real ventriloquist.
BNC-954,"I spent just over an hour with Patterson which, I found out later, turned out to be another first. Time is money in the City and few people are worth an hour unless it's over lunch and only then if you're involved in a takeover bid.",Patterson had a meeting with his door shut and nobody got fired,It was also I learned one of the few occasions anyone at PKB could remember that Patterson had a meeting with his door shut and nobody got fired.
BNC-957,"She would shake her head and deftly speak of other matters, though never about her father's past. Now, I knew some French.",he spent some time in Paris,You may remember I spent some time in Paris - not the most pleasant of times freezing in the snow chased by wolves and being half-hanged at Montfaucon.
BNC-963,"The Deputy Under Secretary could talk of his host's prospects and disappointments, he could learn of the problems of digging out foreign exchange and hard currency in the Third World, the tribulations over the renewal of Residence Permits, the difficulties of keeping reliable servants, but of his own world he must remain silent. The Deputy Under Secretary headed the Secret Intelligence Service of the United Kingdom, and that was not a subject matter for gossip and conversation on a bougainvillaea-fringed veranda as the lights of the fishermen's dug-outs floated inside the coral reef... No bloody way.",the Deputy Under Secretary was both pleased and relieved to be back at his desk on a grey Monday morning in London,He was a man who could be honest with himself and in honesty he could say that he was both pleased and relieved to be back at his desk on a grey Monday morning in London.
BNC-967,I WAS really only a bystander in the tragedy of young Mr and Mrs McLeod.,she had known Mr. and Mrs. McLeod for most of their lives,It was not really my business although it could be said that I had known them both - had seen them about - for most of their lives.
BNC-971,Only much later did it occur to her that this was her failure. Academically self-sufficient and wholly self-centred she saw their sullenness and ignorance as their concern and their fault.,Frederica was a good moral influence,Madame Grimaud treated all this with brisk courtesy remarking on one occasion that it could at least be said that Frederica was a good moral influence.
BNC-972,She stood lighting a cigarette and looking at my mother out of the corners of her eyes. My mother was again plunged into a version of that dilemma common to all divorced wives.,Derek was the biggest fool the world had ever seen,Either she could say that Derek was the biggest fool the world had ever seen - in which case she would stand self-confessed as an even bigger fool for having married him in the first place.
BNC-973,"My mother was again plunged into a version of that dilemma common to all divorced wives. Either she could say that Derek was the biggest fool the world had ever seen - in which case she would stand, self-confessed, as an even bigger fool for having married him in the first place.",Derek had always had charming manners,Or she could say that Derek had always had charming manners and was in the habit of commending ladies on their scent even if it smelled of Alexandrian sewers and sound as though she had lost something worth keeping - and inevitably regretful.
BNC-978,"Hazel had not felt so much bewildered since Blackberry had talked about the raft beside the Enborne. Obviously, the stones could not possibly be anything to do with El-ahrairah.",Strawberry's tail was an oak tree,It seemed to him that Strawberry might as well have said that his tail was an oak tree.
BNC-979,"Then they would awake, terrified and sweating, to find themselves in white starched linen, in a comfortable bed, in peaceful England. And all would be well.",the siege nevertheless had a bad effect on the Collector,It may be said that although he survived it the siege nevertheless had a bad effect on the Collector.
BNC-980,Paula could not help herself. It was just the way she was.,others hated Paula,Others might say they hated her and mean it.
BNC-986,Nobody noticed. It wasn't hard to sneak a copy of the tutor's program and take it back to her room.,the copy of the tutor's program was homework,Even if anyone saw it under the charred fringes of her robe she could say it was homework.
BNC-989,"He was a friend of Sergei Rozanov. She liked Sergei a lot, had fancied him like mad when they 'd first met, at the house of mutual acquaintances in Moscow.",the English lover was a mask for Sergei,Freud would probably have said the English lover was a mask for Sergei with his deep respect for England.
BNC-996,"Clare wondered why she felt so hurt, when she 'd always known the truth. Sam was a movie creature, first and foremost.",Sam put his wife and child first,He might say now that he put his wife and child first.
SWBD-1,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.",holding out was really the proper response,"you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response."
SWBD-10,"B: Especially if they're found guilty of the crime. A: Uh-huh. B: You know, once they have been arrested",these people are guilty,"and if they know beyond a shadow of a doubt, these people are guilty."
SWBD-100,"A: I think that it went up a thousand percent on most, B: Yeah. That's incredible but they had to, uh, go in the direction of a market driven economy, and they had to bite the bullet for that. So that's a good move, on Gorbachev's part in doing that. A: Uh-huh. B: So, A:",Gorbachev is moving towards a two to three party system of government or eliminating or diminishing the Communist power,"But Gorbachev has still not fully convinced everyone that, he's moving towards a two to three party system of government nor eliminating or diminishing the Communist power,"
SWBD-101,A: How do you feel about gun control? B:,guns should be outlawed,"Well, uh, I mean I don't think that guns should be outlawed"
SWBD-102,"A: Okay. So Frank, what, uh, type of, uh, budget do you or your family have? B:",he and his family really have a budget,"Well, uh I don't know that we really have a budget."
SWBD-103,"B: I don't know how my parents did it. A: Yeah. B: I mean, there were five of us and I don't recall, you know, wanting anything in particular. Uh, but I don't know how my father did it. He worked at a truck line and he just didn't make that kind of money with five children. But we did okay. We had a house and a home and, but now, my wife and I both work",he and his wife have as much as his parents did,and I don't believe we have as much as my parents did.
SWBD-104,"B: I think they should be randomly drug tested. A: Yeah. B: I believe, full force in that. A: Yeah. B:",he believes every secretary in every company needs to be drug tested,I don't know that I believe every secretary in every company needs to be.
SWBD-105,"A: Well, how do you feel about the immigration laws? B: At, currently, I think they are a little restrictive. Uh, particularly for, uh, certain ethnic groups or from certain countries. Um, I think we should permit, uh, more immigration from eastern Europe, for example, uh, particularly uh, the Jewish, uh, uh, people from Russia. I think we could permit more of them in than we have permitted in the last, uh, several years. And, I think we have, uh, uh, too much restriction uh, on the Orientals also, but, of course, that's just my opinion. A: Yeah,",he checked the topic off on the list,"well, I'm not real sure why I got this topic, because I don't think I checked it off on the list because I know very little about the current immigration laws."
SWBD-106,"A: He's in here somewhere, I know he is. B: Right. A: Yeah. Well, I know how to use one. we go hunting every once in a while and he showed me how to use his guns and I really enjoy it",he could or would even grab the gun,"but, boy if someone did break in, I don't know that I could or would even grab it."
SWBD-107,"B: boy, he's a big one. A: he's pretty big. That's why it really surprises me, you know, that he hasn't come back, because, like I said, he's never gone away like this before, and, I would think, you know, I mean, he might could get hurt by a car or something.",he could really get killed that easily,I don't know that he could really get killed that easily because he is so big.
SWBD-108,"A: As a freshman? B: Yeah. A: Yep. B: And, uh, he's pleased with his classes.",he has been in the high school long enough to know what to expect,"I don't guess I've been in the high school long enough to know what to expect really you know, how to judge it."
SWBD-109,"B: I really never had anything major with my Mazda but it was a standard also and the clutch went out on it toward the end, I had it five years and the last two years it seemed to go out really easily. I think it went out twice in two years and that's a lot it shouldn't go out that much. A: Huh-uh. B: And so I went ahead and bought another standard when I bought the Honda",he is going to buy a standard again,but I don't think I'm going to do that again.
SWBD-11,"B: Well, yeah, use that or, you know, there's other consequences rather than killing them, you know, you could, always make them the slave of the people they committed the crime against. A: Oh.  Huh-uh. B: You know. A: Yeah. B: At least they might get some benefit in that,",these people have learned their lesson,"and if the people they committed a crime against, feel, at some later date, that these people have learned their lesson, are okay, you know, well, they can free them."
SWBD-110,"A: Oh, well, what kind of paint did you use for the, um, bookends? B: Well, that's half the problem right there is that it was a oil base, so I had to get, and when I painted them, I didn't realize that we didn't have any turpentine or paint thinner or anything in the house. So I had it all over my hands. At first I didn't realize, you know, I had never painted anything,",he needed that,so I didn't realize that I needed that.
SWBD-111,"A: But, uh, my only complaint is I really don't enough time to look at the articles every day and go through a paper, you know, exhaust the details. So that's why I concentrate on weekly magazines. B: Do you think that the weekly magazines provide you with as much detail information as you'd like? A: Well, yes.",he has the time to really become a student in every article,I don't think I have the time to really become a student in every article.
SWBD-112,"A: It was really kind of interesting because, Arsenio was asking him about, uh, what he thought of, uh, one of the other action guys. B: Really. A: God, I can't even remember the name. He said well, he wouldn't really talk about it.",he was such a good action guy,"Didn't want to talk about him because he didn't think he was such uh, a good action guy."
SWBD-113,"A: Not that they won't appoint them but there is no budget for them, I guess. and the courthouse that goes with them and the bailiffs and the uh, court clerks. B: Huh.  Yeah. Whatever. A: So it seems, uh, no,",he would change it,I do not think I would change it.
SWBD-114,"B: it's just a great cat, but. A: Well, my personal preference is a dog.",he would want a cat,"Uh, I don't know uh, that I would ever want a cat."
SWBD-115,"A: and then once they do get elected, they don't have the power or the authority or the willingness to do those things that they promised, you know, beforehand. B: Right. A: You know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing. You know, that's, uh, with the economy going the way it is and everything, that was nearly ridiculous thing to, even try to do. B: Yeah.  Yeah.",he's going to have to worry about that next year,"Well, I don't think he's going to have to worry about that next year."
SWBD-116,"A: Oh, oh yeah, and every time you see one hit on the side of the road you say is that my cat. B: Uh-huh. A: And you go crazy thinking it might be yours. B: Right,",her husband was such a sucker for animals,well I didn't realize my husband was such a sucker for animals until I brought one home one night.
SWBD-117,"B: until they're older and then they look back. A: Yeah, it's true, um. what are some other questions they have, I'm not sure. I know my parents are growing up, I guess they never spent much time watching TV.",his mom would turn on the TV,"In fact, I've never seen my mom turn on the TV,"
SWBD-118,"B: Oh, it does. Uh, I have four sons myself, and the youngest is twenty-eight. So they are all pretty well grown up and they all went through it, you know, going through high school and everything and knock wood that, uh, they have not,",his sons didn't try it,"well I won't say they didn't try it, uh,"
SWBD-119,"A: Uh, I, the cynical side of me says that, you know, it was more for, uh, the domestic political situation than for anything else. You know, you know, and for portraying Bush is a strong President. B: Huh, yeah, okay.  Sure. A: Uh, I mean my gut feeling is that, you know, he pretty much picked the fight uh, with, um, Hussein. B: Uh-huh. A:",Hussein wasn't quite willing to enter that fight,I mean I'm not saying at all that Hussein wasn't quite willing to enter that fight.
SWBD-12,"B: And other than that I do not think it should be allowable. I think it should be illegal for them to want to do that. it's kind of the big brother syndrome, I mean, I just, anything like that just kind of scares me. A: I tend to view it, even though I don't think I'd work for a company that did that, I sort of want to defend an employer's rights uh, in addition to an individual's rights, but an employer, really, I think, has the right to hire someone on any basis they want to B: Right. A:",they don't want smokers,"and if they say they don't want smokers, I sort of feel like an employer should have the right to decide whether they want to allow that."
SWBD-120,"B: And I don't think that rehabilitation is effective. A: Right. Have to agree with you, and I'm kind of in favor of capital punishment also.",it acts much as a deterrent to these people,"I just don't think that it acts much as a deterrent to these people because, uh, you still see them committing the same crimes,"
SWBD-121,"B: Uh-huh. Yeah, I don't think switching back and forth is that big a deal. I think people need to understand more like what a meter is, instead of how many feet in a meter or something. Just get used to using all the terms. Because someone says a kilogram, no one knows what that is. A: Everyone wants a conversion of that before kind of recognizing it as a concept to hold in mind. B: Yeah. A:",it can change it very quickly,"Uh, I don't see that, it can change it very quickly."
SWBD-122,"A: so you hear so much, you get a little tired of it, but then again, so many people you got to understand only catch it once a day, maybe B: Yep. A: but I think the quality of uh, our news is just, uh,",it could be better,I don't believe it could be better
SWBD-123,"A: I've never heard that one, that's very nice. Oh, so I'm all for the metric system and converting over and I think, I guess, my feeling is the way to do it is to just start giving weights, you know, have a very brief transition period and then just start giving weights and kilometers, er, just as in kilometers and weights and kilograms and everything like that and, uh, just have people start using it rather than having people constantly trying to convert. Remember me getting a package of something that said one pound, this is a package of dates mind you, was, presumably something you weigh fairly precisely, it said one pound and then in parenthesis it said four hundred fifty-four point six grams. B: Right, right. A: And, as near as I could tell, seeing that was basically anti-metric propaganda cause anyone who would say, well look I can either buy a pound of something at four hundred sixty-four point six grams which, of course, they couldn't weigh it out accurately anyway, um, every time I see something like that I think, well, that's an anti-metric argument. B: Yeah.",it could happen with a quick transition,"Well, uh, I don't think it could ever happen with a quick transition."
SWBD-124,"A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime, but I don't think that it really actually does that.",it deters somebody,"I don't think it deters anybody, because most of the time crimes uh, are committed without any thought to the consequences"
SWBD-125,"A: No, I had moved away. B: No, uh-huh. A: I had taken the first one back.",it heated well enough,I didn't think that it heated well enough.
SWBD-126,"A: and I'm just like, well, uh, I'm not even going to think much about it if you're going to treat me with this much respect even before you've gotten to know me. B: Yeah.  Right.  Right. that's basically my opinion on it, right there, is that it's just, you know, I was in the same sort of situation as, it was a job interview and then you had a physical, where you were drug tested, and it's, I just, and I know people who have been drug tested and who have not, you know, been hired by a corporation which, uh, you know, I really. The other side of it is, besides its being an invasion of personal privacy, it's my bodily fluid and I don't really want you to look at it, or something pretty basic like that, A: Uh-huh. B:",it is a company's business to regulate what its employees are doing when they're not at work,just to the fact that I don't know that it is a company's business to regulate what its employees are doing when they're not at work.
SWBD-127,"B: And I've worked in the hospital for fifteen years and I've taken care of a few AIDS patients. A: Uh-huh. B: Uh, when they asked us did we want to, uh, keep it the same or, uh, spend more, spend less, uh, I think right now what they're spending is adequate. Uh, for my personal opinion. Uh, because I think it's something that's going to take them a while to come up with a, uh, vaccine for. A: Yeah.  Uh-huh.  Uh-huh. B:",it is going to be that easy to come up with,I don't think it's going to be that easy to come up with
SWBD-128,"A: I'll let you go first. B: Oh, well, what's there to say? Doesn't seem like it's being carried out very well in my opinion.",it makes any difference to sentence someone,Seems like it takes so long between conviction and carrying out the penalty that I don't see that it makes any difference to sentence anybody.
SWBD-129,"A: See those type of people that have the most opinions, ones that don't know anything. B: Yeah. A: Well, uh, I've had teenagers and I now have grandchildren that are teenagers,",it might do teenagers a little bit of good to see the world from a different perspective,and I don't know that it might do them a little bit of good to see the world from a different perspective.
SWBD-13,"A: Yeah, they did. They put a lot of pressure on him from the outside and from the inside. Uh, it's funny watching them play, he's probably like a lot of quarterbacks, uh, when the pressure is really on when it's down to the last few minutes of the game for the season is when the guys seem to really do their best. B: Uh-huh. A: And I haven't quite figured that out,",they have got it won,"if they figure they have got it won or if there's no real hurry because the first three quarters or, uh, uh, if something happens that that adrenalin starts flowing."
SWBD-130,"A: Um, yeah, that's for sure. That's for sure, do you have any feelings as to the trends that you see? B: Well, it lo-, o-, the one trend I would say is that with so many more women choosing professional careers, there are fewer of them home in the afternoons, A: Uh-huh. B:",it needs to be the mothers,"and I don't think it needs to be the mothers,"
SWBD-131,"A: Okay, looks like we're ready to go. Capital punishment, uh, the problem I have with capital punishment is that, uh, uh, it's supposed to be a deterrent to crime,",it really actually does that,but I don't think that it really actually does that.
SWBD-132,"A: Well, do you think it's, should be illegal for an employer to do this or, B: Uh, I really think it should be, except as I've mentioned twice now, in the specified industries or jobs, because there are certain things where it's just vital that a person is clear minded at all times. A: Yeah. B:",it should be allowable,And other than that I do not think it should be allowable.
SWBD-133,"A: Uh, well then you must know a lot more about this than I do. B: Uh, I think, uh, the system right now, you know, you know, is fine. I think it should be by a jury. I don't think the judge should have, I mean he's just there kind of like the referee. A: Uh-huh, Uh-huh. B:",it should be unanimous,"Uh, I don't even think that it should be unanimous either. Uh,"
SWBD-134,"B: Uh-huh. It, I mean, I don't know, I don't think George Bush will make the American people happy with ninety-seven cents a week. A: No, no, not at all. B:",it was a well thought out incentive,I just don't think it was a well thought out incentive.
SWBD-135,"B: How about Ghost? A: we saw, an, we liked it",it was as good as all the hype was about it,"but, you know, I didn't think it was as good as all the, uh, hype was about it."
SWBD-136,"B: Schwartzkopf knew what had to be done and it's too bad that he just didn't have the ability just to do it, you know, uh, the go ahead to do it. A: Yeah. B: Because he had the fu-, he knew what was going to happen, more than any of us.",it was going to make such a mess,"Because I didn't realize that, um, it was going to make such a mess."
SWBD-137,"B: Oh, she was just funny. A: Really? B: She was really funny. And her character was good.",it was her in particular,I don't know that it was her in particular but just the character.
SWBD-138,"B: but I found that, uh, it was made of some material which actually ended up rusting uh, after, A: Oh. B: even, despite, you know, diligent washing, it got rusty after about, uh, three weeks of use.",it was his fault,"And I don't think it was my fault because you know, I had made a point of like drying it off and cleaning it"
SWBD-139,"A: Yes. And, oh, yeah, it's very expensive. B: Oh. A: And, uh, B:",it was that expensive,I didn't realize it was that expensive.
SWBD-14,"B: Then I have another daughter in, uh, Bountiful, Utah and she has to work full-time and it's just tearing her apart. She has a private baby-sitter. A: Yeah. B: And, uh, the baby just screams. I mean, the baby is like seventeen months and she just screams. A: Uh-huh. B:",they're fixing to get ready to go over there,Well even if she knows that they're fixing to get ready to go over there.
SWBD-140,"A: and if they weren't spending all the money on drug testing, people could have got a raise. So, see, you know, there's different, I think that's more of a personal view of mine other than a yes, sir, we should have drug testing because there's really a problem B: Uh-huh. A: and I know that. But then, I have other views to it. B:",it was that expensive,I didn't think it was that expensive because my son was in probably a week and a half period
SWBD-141,"A: and that rolling kind of, uh, B: Terrain. A: Yeah. is fairly famili-,. The thing that I thought was interesting was that the critics, apparently it's going to win everything. B: Really? A:",it was three hours long,"Uh, and I had been told, you know, you wouldn't notice that it was three hours long, and all this, kind of,"
SWBD-142,"B: I did, too. A: I mean, it was just more for my money. B: Yeah.",it was too long,I didn't think it was too long at all.
SWBD-143,"B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it.",it works that way,"I just, don't think uh, that it works that way."
SWBD-144,"B: Uh-huh, uh-huh. How's that? I haven't seen that. A: I like it a lot. It's real different.",it would be a hit,"In fact, they never thought it would be a hit."
SWBD-145,"A: I don't think it's done. I don't think we run it as a deterrent. I mean people say that, but, I mean, if it was really a deterrent, I mean I think like horse thieves in the old west, you know, they saw other horse thieves hanging by the necks every once in a while. B: Uh-huh. A: And if it was really seriously going to be a deterrent, I would think that it would be public.",it would be this private thing,I mean I don't think it would be this private thing because nobody ever sees it.
SWBD-146,"B: but, you know, for other kind of cans, it'd probably only take aluminum cans like that, don't they. A: Yeah, I don't, yeah,",it would crush steel cans,"I don't think it would crush steel cans,"
SWBD-147,"B: Uh, if they've got these bins for all the other little items, I'm sure if people will have batteries, uh, you know, quite often to toss out. A: Right, that's true. ",it would pick up their stuff,"Uh, when I was home those few days around Thanksgiving and uh, the truck came by, well, we all ran out to watch it because, you know, we'd never really seen it pick up our stuff"
SWBD-148,"B: That throws the budget out of whack real fast. A: Well, we actually planned for about one year. B: Oh, good. A:",it would take seven months,"Uh, that God because,, it never occurred to us that it would take seven months."
SWBD-149,"B: yeah, obviously we don't have any and I think that's part of the role reversal, is it's okay to get married and not have kids. A: Oh yeah. B: And I think society for such a long time said, well, you know, you're married, now you need to have your family",it's been until recently that they had decided that two people was a family,and I don't think it's been until recently that they had decided that two people was a family.
SWBD-15,"A: it's nice when it makes, a lot because you can feed your own family. And then, B: Yeah, because when I make this chicken casserole it makes a real big casserole and then another one that I freeze. A: Uh-huh. B:",they're not going to eat,"or I give it to my Mom and Dad if I know we're not going to eat,"
SWBD-150,"B: That's true. A: So. B: Uh, the other argument is that the death penalty is a deterrent and I really don't, uh, agree with that. I don't think anyone who would commit uh, a crime that would get them the death penalty would stop at the moment and say, well, I was about to kill and dismember this person but, oh, if they catch me they're going to kill me so I better not do it. I just, don't think uh, that it works that way. A: Yeah. ",it's done,I don't think it's done.
SWBD-151,"A: Well, uh, and that's an idea that's been kicked around for a long time.",it's ever been seriously considered,"I don't know that it's ever been seriously considered, uh, as far as close to passing, uh, any legislation or anything like that."
SWBD-152,"A: No, I don't either. B: Uh, I mean it's, you know it, A:",it's going to change very much,I don't think it's going to change very much
SWBD-153,"B: But, uh, if the wind comes basically from the south it can be really bad. A: Uh-huh. B: Uh, the State of Wisconsin, as a matter of fact, uh, started some litigation against Illinois because of the air pollution we were getting. A: Uh-huh. B:",it's going to go very far,"Uh, I don't think it's going to go very far,"
SWBD-154,"A: I suppose so. Let me push the button. B: All right. A: Okay, uh, I guess I'm supposed to be all for switching to the metric system, but, uh, I sense that it's not going to happen anytime soon. B: Yeah,",it's going to happen,"I don't think it's going to happen either,"
SWBD-155,"A: for the moment, and that's what really is getting me about what George Bush's stand on the budget is right now is that he is saying, I am going to give you this ludicrous little tax cut so that you'll be happy come November, and you'll elect me again B: Uh-huh.  Uh-huh. A: and then I'm going to go on and just forget everything that I said B: Uh-huh. A:",it's going to make much of a difference,"or you know, it doesn't seem that it's going to make much of a difference."
SWBD-156,"B: Yeah. Well, that's the guy that counts. A: Yes. But, maybe we'll get your guy. B:",Jim Kelly is about to be swayed away from the Bills any time,"Oh, I don't think Jim Kelly is about to be swayed away from the Bills any time."
SWBD-157,"A: Uh, such like, maybe in murder they get to choose whether it's, uh, premeditated or one or two of the lesser degrees. The other thing that juries are restricted on and at least to me this has been one of the frustrating things even in my own experiences, that you usually don't get to hear all the information. B: Yeah. A: It's what information is presented",juries have a right to know more,"and, uh, I don't know that juries have a right to know more because in a sense we call those safeguards,"
SWBD-158,"B: Well, that's true. A: I think that's really the only thing. I guess where I would like to see the system change is, uh, uh, there ought to be a",juries need to decide sentencing all the time,"well I guess I don't think that, uh, uh, juries need to decide sentencing all the time."
SWBD-159,"A: Yeah, but that, doesn't mean, B: But that doesn't eliminate it, does it? A:",making laws will stop it,I don't think making laws will stop it.
SWBD-16,"B: anybody tries to hurt them I won't even blink, A: I know,  No. I understand that.",someone's trying to hurt them,"uh, what if you think someone's trying to hurt them and you make a mistake?"
SWBD-160,"A: Oh, I can't either, not a one. B: And I know at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field. A: Uh-huh. B:",men really took the time to work on that sort of thing,I don't think that men really took the time to work on that sort of thing.
SWBD-161,"B: Yeah. How about Mister Rogers, is he still around? A: Yes. Yeah. They still show Mister Rogers.",Mister Rogers is making new Mister Rogers,"I don't think he's making new ones,"
SWBD-162,"A: What do you think about Robin Hood? B: Well, I work for school district and, uh, it has hurt us a lot. Uh, there has to be some way, I think, to equalize education opportunities. But, uh, you know, I think, especially big government, tends to think that the solution to everything is to throw money at it. And I don't, you know, that's just not true.",money is going to take the place of intelligence,"you know, I don't think money is going to take the place of intelligence or, uh, problem solving skills."
SWBD-163,"B: like the customer is always right and you know, no matter how crabby you might be over the phone, they are very understanding and, uh, they ma- make sure things are set properly if you're any way dissatisfied with their merchandise. A: That's really good. It use to be like that. B: Uh-huh. A: But, ",most places are like that anymore,I don't think most places are like that anymore.
SWBD-164,"B: That sounds really good. I read a thing, I don't even remember if it was in the Dallasite or the Insite one, about uh, companies allowing you, and they said that TI was looking into it, to purchase extra vacation days. Which I thought sounded like a good idea. You know, if you've been there, you know, under five years you get two weeks of vacation but that's really not enough and you want an extra week, then you can purchase an extra week of vacation by saying, okay, I'm going to want an extra five days this year and they'll take a set amount out of each paycheck, you know, and they're deducting it all along, so you can have an extra five days off and be paid for them at the time, you know, you're really not being paid for them, the money is actually coming out of your own pocket, but it's coming out a little bit at a time instead of all at once, you know. So, that is kind of an idea that a lot of people sounded like that they were really interested in and TI said that they were looking into something like that so, A: Well, I could certainly, personally stand seeing them go to a standardized compensatory time for overtime. B: Uh-huh.  Uh-huh. A:",none of the employees would have to purchase any extra vacation days if the company did that,"And I don't believe any of us would have to purchase any extra vacation days, if they did that."
SWBD-165,"B: and I'm just here for the rest of the stay. And so you know, I guess most of the time when I think about somebody going into a nursing home, it's more a case of where they are not able to look after their day-to-day needs. Yeah A: Uh-huh. B: they can look after a lot of things but there's some of the day-to-day needs that they just are not able to deal with physically anymore. Uh, I know none of my grandparents were in a nursing home. They generally were able to have someone care for them at home and they died. But they were all, goodness, younger than your grandparents. Like they were in their eighties. That type of thing. Uh, but I did, uh, you know, I guess, uh, when I think nursing home I do think of people that are not able to take care of themselves physically. Uh, A:",nursing homes really do a very good job,But I just don't think that nursing homes really do a very good job.
SWBD-166,"B: Yeah, and the ground will filter some of it but not all of it. A: No, not when you figure,",one cow produces that much manure,I didn't realize one cow produces that much manure
SWBD-167,"A: Uh, at, uh, it's TCJC. Tarrant County Junior College. B: Oh. A: Yeah. B: Okay. A: And it's really enjoyable. I like it. And then they also, you know, do you think we could make laws to eliminate all corruption,",people can make laws to eliminate something every place totally,and I don't think we can make laws to eliminate anything anyplace totally.
SWBD-168,"A: Yeah, that's crazy. B: and then you come here in the Dallas area, um,",people should be allowed to carry guns in their vehicles,I don't believe that people should be allowed to carry guns in their vehicles.
SWBD-169,"A: But, I mean, uh, is that a reflection then of what is really happening in the real world? If they keep giving everybody hundred year sentences,",people want to be taxes to build more prisons,"and the people in various states, it does not seem that people want to be taxed to build more prisons. Or even for that matter, uh, repair uh, the lack of judges and other, uh,"
SWBD-170,"B: but if they get the little tiny kids saving it now, in five years, when they get bigger, it'll work a little bit more, too. A: Yeah.  True. B: Because it's, we've all got to do it right now. I just, I really amazed to find out that, eighty per cent are filled now, in garbage fills. In five years we're supposed to be at max. A: Uh-huh. B:",she can keep her own garbage,I don't think I can keep my own garbage.
SWBD-171,"A: Yeah. Koontz. Uh, his last name ends in a Z, I know that. B: Yeah, oh, I think I know who you're talking about. Uh, I've seen,",she can pronounce it,"I don't think I can pronounce it either,"
